id;data_of_create;is_name;name;path_file;price;brand_id;type_id
171;1636240419093;f;Смартфон Apple iPhone 12 Pro Max 128GB Silver (MGD83RU/A);https://holod.ru/pics/140x150/74/701274.jpg;97399;55;2
172;1636240419104;f;Смартфон Apple iPhone 12 mini 64GB (PRODUCT)RED (MGE03RU/A);https://holod.ru/pics/140x150/94/701594.jpg;54099;55;2
173;1636240419115;f;Смартфон Apple iPhone 11 64GB (PRODUCT)RED (MHDD3RU/A);https://holod.ru/pics/140x150/16/701616.jpg;49199;55;2
1498;1636242248328;f;Стиральная машина Electrolux EW8F1R 48 B;https://holod.ru/pics/140x150/50/586250.jpg;1184;163;6
175;1636240419129;f;Смартфон Apple iPhone 12 256GB Blue (MGJK3RU/A);https://holod.ru/pics/140x150/06/701506.jpg;78699;55;2
176;1636240419140;f;Смартфон Apple iPhone 11 Pro Max 256GB Space Grey (MWHJ2RU/A);https://holod.ru/pics/140x150/50/632250.jpg;98090;55;2
177;1636240419150;f;Смартфон Apple iPhone 11 64GB Purple (MHDF3RU/A);https://holod.ru/pics/140x150/22/701622.jpg;49199;55;2
1499;1636242248338;f;Стиральная машина Electrolux EW6S3R 26 SI;https://holod.ru/pics/140x150/39/570839.jpg;33990;163;6
179;1636240419163;f;Смартфон Apple iPhone 12 Pro Max 128GB Graphite (MGD73RU/A);https://holod.ru/pics/140x150/56/701256.jpg;97399;55;2
180;1636240419175;f;Смартфон Apple iPhone 11 128GB (PRODUCT)RED(MHDK3RU/A);https://holod.ru/pics/140x150/16/701416.jpg;54099;55;2
181;1636240419185;f;Смартфон Apple iPhone 11 64GB White (MHDC3RU/A);https://holod.ru/pics/140x150/20/701620.jpg;49199;55;2
182;1636240419195;f;Смартфон Apple iPhone 12 mini 128GB (PRODUCT)RED (MGE53RU/A);https://holod.ru/pics/140x150/96/701596.jpg;58999;55;2
183;1636240419206;f;Смартфон Apple iPhone 12 mini 128GB Blue (MGE63RU/A);https://holod.ru/pics/140x150/02/701602.jpg;58999;55;2
