id;description;title;device_id
8394;215;Холодильной камеры (л) :;1214
8395;108;Морозильной камеры (л) :;1214
8396;Китай;Страна-производитель:;1214
8397;178.5x59x59.5;Габариты (ВxШxГ) (см):;1215
8398;белый;Цвет:;1215
8399;312;Холодильника (л) :;1215
8400;215;Холодильной камеры (л) :;1215
8401;97;Морозильной камеры (л) :;1215
8402;Китай;Страна-производитель:;1215
8403;180x55x55.7;Габариты (ВxШxГ) (см):;1216
8404;белый;Цвет:;1216
8405;277;Холодильника (л) :;1216
8406;199;Холодильной камеры (л) :;1216
8407;78;Морозильной камеры (л) :;1216
8408;Китай;Страна-производитель:;1216
8409;144x55.4x55.1;Габариты (ВxШxГ) (см):;1217
8410;белый;Цвет:;1217
8411;215;Холодильника (л) :;1217
8412;170;Холодильной камеры (л) :;1217
8413;45;Морозильной камеры (л) :;1217
8414;Китай;Страна-производитель:;1217
8415;185x60x64;Габариты (ВxШxГ) (см):;1218
8416;белый;Цвет:;1218
8417;332;Холодильника (л) :;1218
8418;224;Холодильной камеры (л) :;1218
8419;108;Морозильной камеры (л) :;1218
8420;Россия;Страна-производитель:;1218
8421;183.4x73x72.8;Габариты (ВxШxГ) (см):;1219
8422;графит;Цвет:;1219
8423;509;Холодильника (л) :;1219
8424;383;Холодильной камеры (л) :;1219
8425;126;Морозильной камеры (л) :;1219
8426;Южная Корея;Страна-производитель:;1219
8427;186x59.5x59;Габариты (ВxШxГ) (см):;1220
8428;черный;Цвет:;1220
8429;300;Холодильника (л) :;1220
8430;207;Холодильной камеры (л) :;1220
8431;93;Морозильной камеры (л) :;1220
8432;Китай;Страна-производитель:;1220
8433;143.4x55x54.2;Габариты (ВxШxГ) (см):;1221
8434;белый;Цвет:;1221
8435;205;Холодильника (л) :;1221
8436;164;Холодильной камеры (л) :;1221
8437;41;Морозильной камеры (л) :;1221
8438;Китай;Страна-производитель:;1221
8439;200.3x59.5x63.2;Габариты (ВxШxГ) (см):;1222
8440;белый;Цвет:;1222
8441;334;Холодильника (л) :;1222
8442;245;Холодильной камеры (л) :;1222
8443;89;Морозильной камеры (л) :;1222
8444;Китай;Страна-производитель:;1222
8445;188x57x62;Габариты (ВxШxГ) (см):;1223
8446;золотистое стекло;Цвет:;1223
8447;320;Холодильника (л) :;1223
8448;205;Холодильной камеры (л) :;1223
8449;115;Морозильной камеры (л) :;1223
8450;Украина;Страна-производитель:;1223
8451;190x60.5x67;Габариты (ВxШxГ) (см):;1224
8452;ярко-красный;Цвет:;1224
8453;318;Холодильника (л) :;1224
8454;231;Холодильной камеры (л) :;1224
8455;87;Морозильной камеры (л) :;1224
8456;Турция;Страна-производитель:;1224
8457;186x59x59.5;Габариты (ВxШxГ) (см):;1225
8458;мраморно-бежевый;Цвет:;1225
8459;300;Холодильника (л) :;1225
8460;207;Холодильной камеры (л) :;1225
8461;93;Морозильной камеры (л) :;1225
8462;Китай;Страна-производитель:;1225
8463;186x59x59.5;Габариты (ВxШxГ) (см):;1226
8464;нержавеющая сталь;Цвет:;1226
8465;300;Холодильника (л) :;1226
8466;207;Холодильной камеры (л) :;1226
8467;93;Морозильной камеры (л) :;1226
8468;Китай;Страна-производитель:;1226
8469;187x86.5x74;Габариты (ВxШxГ) (см):;1227
8470;черное стекло;Цвет:;1227
8471;600;Холодильника (л) :;1227
8472;422;Холодильной камеры (л) :;1227
8473;178;Морозильной камеры (л) :;1227
8474;Таиланд;Страна-производитель:;1227
8475;175x80x73.5;Габариты (ВxШxГ) (см):;1228
8476;серебристый;Цвет:;1228
8477;536;Холодильника (л) :;1228
8478;388;Холодильной камеры (л) :;1228
